102.130.119.166 | 328364  | 102.130.119.166  | 102.130.119.0/24    | ZA | afrinic  | 2018-09-19 | Host-Africa-AS, ZA
102.210.148.132 | 328847  | 102.210.148.132  | 102.210.148.0/24    | KE | afrinic  | 2023-11-15 | KoTDA, KE
102.210.148.147 | 328847  | 102.210.148.147  | 102.210.148.0/24    | KE | afrinic  | 2023-11-15 | KoTDA, KE
102.210.148.184 | 328847  | 102.210.148.184  | 102.210.148.0/24    | KE | afrinic  | 2023-11-15 | KoTDA, KE
102.220.23.119 | 328847  | 102.220.23.119   | 102.220.23.0/24     | KE | afrinic  | 2021-05-05 | KoTDA, KE
102.220.23.31 | 328847  | 102.220.23.31    | 102.220.23.0/24     | KE | afrinic  | 2021-05-05 | KoTDA, KE
102.22.108.30 | 328592  | 102.22.108.30    | 102.22.108.0/24     | KE | afrinic  | 2019-12-23 | Central-Bank-Kenya, KE
104.21.24.211 | 13335   | 104.21.24.211    | 104.21.16.0/20      | US | arin     | 2014-03-28 | CLOUDFLARENET - Cloudflare, Inc., US
138.197.77.185 | 14061   | 138.197.77.185   | 138.197.64.0/20     | US | arin     | 2016-01-26 | DIGITALOCEAN-ASN - DigitalOcean, LLC, US
160.119.248.119 | 329184  | 160.119.248.119  | 160.119.248.0/24    | ZA | afrinic  | 2017-03-17 | Host-Africa-AS2, ZA
167.235.94.215 | 24940   | 167.235.94.215   | 167.235.0.0/16      | DE | ripencc  | 1993-11-19 | HETZNER-AS, DE
178.18.244.187 | 51167   | 178.18.244.187   | 178.18.240.0/20     | DE | ripencc  | 2010-04-27 | CONTABO, DE
185.230.63.107 | 58182   | 185.230.63.107   | 185.230.63.0/24     | IL | ripencc  | 2017-11-06 | WIX_COM, IL
192.124.249.26 | 30148   | 192.124.249.26   | 192.124.249.0/24    | US | arin     | 2015-04-01 | SUCURI-SEC - Sucuri, US
197.248.7.31 | 37061   | 197.248.7.31     | 197.248.7.0/24      | KE | afrinic  | 2011-05-05 | Safaricom, KE
38.247.136.41 | 393398  | 38.247.136.41    | 38.247.128.0/20     | US | arin     | 1991-04-16 | ASN-DIS - 1515 ROUNDTABLE DR PROPERTY, LLC, US
41.89.93.183 | 36914   | 41.89.93.183     | 41.89.64.0/19       | KE | afrinic  | 2010-01-08 | KENET-AS, KE
41.89.93.253 | 36914   | 41.89.93.253     | 41.89.64.0/19       | KE | afrinic  | 2010-01-08 | KENET-AS, KE
50.87.234.5 | 46606   | 50.87.234.5      | 50.87.0.0/16        | US | arin     | 2011-01-24 | UNIFIEDLAYER-AS-1 - Unified Layer, US
67.205.24.41 | 26347   | 67.205.24.41     | 67.205.0.0/19       | US | arin     | 2007-11-01 | DREAMHOST-AS - New Dream Network, LLC, US
autodiscover.outlook.com. | Error: no ASN or IP match on line 1.
bcms.zd.kra.go.ke. | Error: no ASN or IP match on line 1.
